timestamp,vehicle,track_id,frame,standard_weight_kg
2026/02/21 13:53:10,truck,20,120,25000
2026/02/21 13:53:10,car,22,122,1500
2026/02/21 13:53:15,motorcycle,41,186,150
2026/02/21 13:53:16,motorcycle,80,199,150
2026/02/21 13:53:33,truck,129,475,25000
2026/02/21 13:53:36,car,142,515,1500
2026/02/21 13:53:40,car,148,568,1500
2026/02/21 13:53:40,car,149,572,1500
2026/02/21 13:53:59,truck,181,843,25000
2026/02/21 13:54:05,truck,196,942,25000
2026/02/21 13:54:08,car,198,983,1500
2026/02/21 13:54:08,truck,197,992,25000
2026/02/21 13:54:12,car,203,1045,1500
2026/02/21 13:54:15,motorcycle,236,1094,150
2026/02/21 13:54:15,car,231,1098,1500
2026/02/21 13:54:19,car,267,1161,1500
2026/02/21 13:54:21,car,268,1184,1500
2026/02/21 13:54:26,car,310,1254,1500
2026/02/21 13:54:31,truck,338,1343,25000
2026/02/21 13:54:35,motorcycle,386,1397,150
2026/02/21 13:54:39,truck,393,1445,25000
2026/02/21 13:54:46,motorcycle,451,1556,150
2026/02/21 13:54:50,car,457,1616,1500
2026/02/21 13:54:54,car,464,1667,1500
2026/02/21 13:54:57,truck,469,1728,25000
2026/02/21 13:55:07,motorcycle,562,1874,150
2026/02/21 13:55:10,truck,596,1929,25000
2026/02/21 13:55:25,car,669,2145,1500
2026/02/21 13:55:30,truck,672,2222,25000
2026/02/21 13:55:32,car,677,2253,1500
2026/02/21 13:55:41,car,715,2391,1500
2026/02/21 13:55:54,car,752,2577,1500
2026/02/21 13:55:56,car,763,2612,1500
2026/02/21 13:56:01,motorcycle,785,2677,150
2026/02/21 13:56:08,car,821,2788,1500
2026/02/21 13:56:27,truck,858,3078,25000
2026/02/21 13:56:29,truck,861,3094,25000
2026/02/21 13:56:35,car,885,3193,1500
2026/02/21 13:56:35,truck,884,3194,25000
2026/02/21 13:56:36,car,895,3214,1500
2026/02/21 13:56:36,car,897,3216,1500
2026/02/21 13:56:37,car,905,3233,1500
2026/02/21 13:56:39,truck,902,3253,25000
2026/02/21 13:56:39,car,911,3261,1500
2026/02/21 13:56:42,car,940,3299,1500
2026/02/21 13:56:44,motorcycle,994,3324,150
2026/02/21 13:56:45,truck,1000,3337,25000
2026/02/21 13:56:47,truck,1002,3359,25000
2026/02/21 13:56:49,car,1009,3377,1500
2026/02/21 13:56:50,car,1013,3399,1500
2026/02/21 13:57:00,car,1022,3554,1500
2026/02/21 13:57:06,truck,1048,3633,25000
2026/02/21 13:57:16,car,1068,3789,1500
2026/02/21 13:57:17,motorcycle,1084,3803,150
2026/02/21 13:57:19,truck,1089,3834,25000
2026/02/21 13:57:22,car,1091,3867,1500
2026/02/21 13:57:23,car,1092,3880,1500
2026/02/21 13:57:25,truck,1104,3912,25000
2026/02/21 13:57:26,car,1106,3931,1500
2026/02/21 13:57:27,car,1148,3950,1500
2026/02/21 13:57:28,car,1136,3966,1500
2026/02/21 13:57:30,truck,1167,3996,25000
2026/02/21 13:57:34,car,1180,4058,1500
2026/02/21 13:57:36,car,1188,4076,1500
2026/02/21 13:57:37,motorcycle,1210,4091,150
2026/02/21 13:57:37,car,1192,4100,1500
2026/02/21 13:57:38,car,1214,4102,1500
2026/02/21 13:57:38,truck,1213,4115,25000
2026/02/21 13:57:40,car,1223,4142,1500
2026/02/21 13:57:57,car,1264,4409,1500
2026/02/21 13:58:01,car,1276,4458,1500
2026/02/21 13:58:01,truck,1274,4461,25000
2026/02/21 13:58:24,car,1334,4806,1500
2026/02/21 13:58:28,car,1344,4862,1500
2026/02/21 13:58:38,motorcycle,1382,5024,150
2026/02/21 13:58:41,car,1387,5056,1500
2026/02/21 13:58:41,car,1389,5063,1500
2026/02/21 13:58:52,truck,1431,5224,25000
2026/02/21 13:58:54,car,1435,5254,1500
2026/02/21 13:58:54,car,1437,5262,1500
2026/02/21 13:58:55,car,1440,5273,1500
2026/02/21 13:59:09,car,1498,5476,1500
2026/02/21 13:59:14,car,1508,5552,1500
2026/02/21 13:59:18,bus,1518,5602,12000
2026/02/21 13:59:32,truck,1550,5810,25000
2026/02/21 13:59:32,truck,1564,5820,25000
2026/02/21 13:59:33,truck,1561,5830,25000
2026/02/21 13:59:33,car,1567,5850,1500
2026/02/21 13:59:34,car,1576,5862,1500
2026/02/21 13:59:35,motorcycle,1596,5869,150
2026/02/21 13:59:37,car,1613,5882,1500
2026/02/21 13:59:38,car,1612,5895,1500
2026/02/21 13:59:39,bus,1615,5910,12000
2026/02/21 13:59:42,bus,1627,5960,12000
2026/02/21 13:59:54,truck,1680,6135,25000
2026/02/21 13:59:56,truck,1689,6167,25000
2026/02/21 13:59:56,truck,1687,6171,25000
2026/02/21 13:59:58,car,1693,6210,1500
2026/02/21 14:00:06,motorcycle,1719,6322,150
2026/02/21 14:00:10,car,1752,6371,1500
2026/02/21 14:00:14,car,1759,6442,1500
2026/02/21 14:00:15,car,1763,6460,1500
2026/02/21 14:00:17,truck,1768,6482,25000
2026/02/21 14:00:28,car,1784,6655,1500
2026/02/21 14:00:34,car,1788,6743,1500
2026/02/21 14:00:36,car,1789,6764,1500
2026/02/21 14:00:38,car,1790,6800,1500
2026/02/21 14:00:42,car,1806,6871,1500
2026/02/21 14:00:52,truck,1840,7014,25000
2026/02/21 14:00:53,car,1850,7033,1500
2026/02/21 14:00:57,car,1856,7089,1500
2026/02/21 14:01:23,motorcycle,1956,7484,150
2026/02/21 14:01:24,car,1946,7493,1500
2026/02/21 14:01:30,car,1982,7581,1500
2026/02/21 14:01:34,car,1987,7656,1500
2026/02/21 14:01:35,motorcycle,1999,7665,150
2026/02/21 14:01:48,car,2092,7855,1500
2026/02/21 14:01:50,car,2098,7887,1500
2026/02/21 14:01:55,truck,2104,7962,25000
2026/02/21 14:01:57,car,2109,7980,1500
2026/02/21 14:02:00,car,2115,8025,1500
2026/02/21 14:02:02,bus,2122,8063,12000
2026/02/21 14:02:09,car,2154,8174,1500
2026/02/21 14:02:11,motorcycle,2174,8199,150
2026/02/21 14:02:13,car,2179,8224,1500
2026/02/21 14:02:15,truck,2183,8252,25000
2026/02/21 14:02:15,truck,2189,8256,25000
2026/02/21 14:02:17,motorcycle,2223,8292,150
2026/02/21 14:02:20,car,2195,8339,1500
2026/02/21 14:02:21,motorcycle,2285,8354,150
